Campaign,Ad Group,P1_Spend,P1_Clicks,P1_Impressions,P1_CTR,P1_CPC,P1_Calls,P1_Deals,P1_Purchases,P1_Deal_Value,P1_CPA,P1_ROAS,P2_Spend,P2_Clicks,P2_Impressions,P2_CTR,P2_CPC,P2_Calls,P2_Deals,P2_Purchases,P2_Deal_Value,P2_CPA,P2_ROAS,Change_Spend,Change_Clicks,Change_Calls,Change_Deals,Change_Deal_Value,Change_CPA,Change_ROAS
DSA-AllPages-Tier1-New-US-2,DSA-Tier1-New-USA,2619.09,303,4711,6.43,8.64,30,4,1,30715.85,527.26,11.73,3367.71,375,5680,6.60,8.98,37,2,1,12188.65,1683.86,3.62,748.62,72,6,-2,-18527.20,1156.60,-8.11
Backhoe,Backhoe Rental - Cost,742.69,186,1696,10.97,3.99,3,0,0,0.00,0.00,0.00,907.50,205,1671,12.27,4.43,12,0,0,1558.47,935.74,1.72,164.81,19,9,0,1558.47,935.74,1.72
Demand-Brand-US,Brand-Dozr-New,342.83,67,282,23.76,5.12,8,1,0,5427.68,210.11,15.83,382.98,66,329,20.06,5.80,10,2,0,3540.58,188.76,9.24,40.14,-1,2,0,-1887.10,-21.35,-6.59
Dozers,Dozer-Near-Me,61.99,26,184,14.13,2.38,1,0,0,0.00,0.00,0.00,131.20,45,261,17.24,2.92,3,0,0,0.00,0.00,0.00,69.21,19,1,0,0.00,0.00,0.00
Dozers,Dozer-Rental,305.33,64,516,12.40,4.77,7,1,0,8215.05,305.33,26.91,195.40,63,550,11.45,3.10,0,0,0,0.00,0.00,0.00,-109.93,-1,-7,-1,-8215.05,-305.33,-26.91
Dozers,Dozer-Rental-Cost,69.04,25,248,10.08,2.76,0,0,0,0.00,0.00,0.00,85.10,34,239,14.23,2.50,2,0,0,0.00,0.00,0.00,16.06,9,2,0,0.00,0.00,0.00
Dozers,Dozers,183.13,56,432,12.96,3.27,6,1,0,7520.82,183.13,41.07,286.35,108,718,15.04,2.65,2,1,1,6915.02,286.35,24.15,103.21,52,-4,0,-605.80,103.21,-16.92
Dozers,Skid-Steers,1238.74,317,3528,8.99,3.91,22,1,0,1650.72,1238.74,1.33,1347.23,386,3949,9.77,3.49,22,0,1,0.00,0.00,0.00,108.49,69,0,-1,-1650.72,-1238.74,-1.33
Excavator,Excavator-Rental-Cost,82.93,21,318,6.60,3.95,0,0,0,0.00,0.00,0.00,65.58,16,291,5.50,4.10,0,0,0,0.00,0.00,0.00,-17.35,-5,0,0,0.00,0.00,0.00
Excavator,Excavator-Rental-Duration,168.37,34,294,11.56,4.95,2,0,0,0.00,0.00,0.00,222.17,50,547,9.14,4.44,0,0,0,48.50,7361.14,0.22,53.80,16,-1,0,48.50,7361.14,0.22
Excavator,Excavator-Rental-Generic,209.10,50,830,6.02,4.18,0,0,0,0.00,0.00,0.00,404.90,90,1240,7.26,4.50,1,0,0,0.00,0.00,0.00,195.80,40,1,0,0.00,0.00,0.00
Excavator,Excavator-Rental-Near-Me,288.52,44,358,12.29,6.56,0,0,0,0.00,0.00,0.00,203.22,33,422,7.82,6.16,0,0,0,0.00,0.00,0.00,-85.30,-11,0,0,0.00,0.00,0.00
Excavator,Excavator-Rental-Use-Cases,35.32,8,86,9.30,4.42,2,0,0,0.00,0.00,0.00,60.23,8,147,5.44,7.53,0,0,0,0.00,0.00,0.00,24.91,0,-2,0,0.00,0.00,0.00
Excavator,Large-Excavator-Rental,773.35,139,1441,9.65,5.56,4,0,0,0.00,0.00,0.00,829.42,152,1589,9.57,5.46,1,0,0,0.00,0.00,0.00,56.07,13,-3,0,0.00,0.00,0.00
Excavator,Mini-Excavator,723.04,148,2288,6.47,4.89,8,0,0,0.00,0.00,0.00,765.85,159,3094,5.14,4.82,7,0,0,0.00,0.00,0.00,42.81,11,0,0,0.00,0.00,0.00
Forklift,Forklift-Near-Me,315.64,30,382,7.85,10.52,7,0,0,0.00,0.00,0.00,444.90,35,365,9.59,12.71,3,0,0,0.00,0.00,0.00,129.25,5,-4,0,0.00,0.00,0.00
Forklift,Forklift-Rental,1006.83,77,1172,6.57,13.08,16,0,0,0.00,0.00,0.00,930.26,61,767,7.95,15.25,7,1,1,4079.10,930.26,4.38,-76.57,-16,-8,1,4079.10,930.26,4.38
Forklift,Forklift-Rental-Cost,827.95,57,672,8.48,14.53,3,0,1,0.00,0.00,0.00,691.55,38,541,7.02,18.20,4,0,0,900.26,1357.28,1.30,-136.40,-19,1,0,900.26,1357.28,1.30
Forklift,Outdoor-Forklift-Rental,118.82,12,253,4.74,9.90,2,0,0,0.00,0.00,0.00,160.99,14,168,8.33,11.50,3,0,0,0.00,0.00,0.00,42.17,2,1,0,0.00,0.00,0.00
Forklift,Warehouse-Forklift-Rental,566.22,36,513,7.02,15.73,5,1,0,792.09,566.22,1.40,966.46,43,489,8.79,22.48,8,1,0,5355.66,490.31,5.54,400.23,7,3,0,4563.57,-75.91,4.14
Loader,Compact-Track-Loader-Rental,5.04,2,27,7.41,2.52,0,0,0,0.00,0.00,0.00,4.96,1,17,5.88,4.96,0,0,0,0.00,0.00,0.00,-0.08,-1,0,0,0.00,0.00,0.00
Loader,Loader-Near-Me,366.29,58,660,8.79,6.32,1,0,0,0.00,0.00,0.00,263.84,41,569,7.21,6.44,3,0,0,0.00,0.00,0.00,-102.45,-17,2,0,0.00,0.00,0.00
Loader,Loader-Rental-Cost,20.57,9,142,6.34,2.29,0,0,0,0.00,0.00,0.00,73.65,18,245,7.35,4.09,4,1,0,1511.95,73.65,20.53,53.08,9,4,1,1511.95,73.65,20.53
Loader,Skid-Steer-Rental,594.91,126,2726,4.62,4.72,13,0,0,0.00,0.00,0.00,788.86,198,2909,6.81,3.98,4,0,0,0.00,0.00,0.00,193.96,72,-9,0,0.00,0.00,0.00
Loader,Wheel-Loader-Rental,62.31,16,253,6.32,3.89,4,1,0,1026.82,62.31,16.48,74.15,18,255,7.06,4.12,0,0,0,0.00,0.00,0.00,11.84,2,-4,-1,-1026.82,-62.31,-16.48
Scissor-Lift,Rough-Terrain-Scissor-Lift,42.26,8,100,8.00,5.28,0,0,0,0.00,0.00,0.00,59.94,12,184,6.52,4.99,0,0,0,0.00,0.00,0.00,17.68,4,0,0,0.00,0.00,0.00
Scissor-Lift,Scissor-Lift-Near-Me,1360.47,165,1447,11.40,8.25,15,0,0,0.00,0.00,0.00,1553.58,224,2517,8.90,6.94,12,1,1,1756.60,1553.58,1.13,193.10,59,-3,1,1756.60,1553.58,1.13
Scissor-Lift,Scissor-Lift-Rental,1037.92,124,2168,5.72,8.37,13,1,0,980.89,1037.92,0.95,1144.92,143,3038,4.71,8.01,11,1,0,983.59,1144.92,0.86,107.00,19,-1,0,2.70,107.00,-0.09
Telehandler,Telehandler-Near-Me,101.11,15,372,4.03,6.74,0,0,0,0.00,0.00,0.00,198.02,22,502,4.38,9.00,5,0,0,0.00,0.00,0.00,96.91,7,5,0,0.00,0.00,0.00
Telehandler,Telehandler-Rental-Cost,570.29,66,892,7.40,8.64,4,0,0,0.00,0.00,0.00,591.56,71,1119,6.34,8.33,6,1,0,2622.61,591.56,4.43,21.27,5,2,1,2622.61,591.56,4.43
Telehandler,Telehandler-by-Capacity,27.67,5,180,2.78,5.53,0,0,0,0.00,0.00,0.00,32.17,8,222,3.60,4.02,1,0,0,0.00,0.00,0.00,4.50,3,1,0,0.00,0.00,0.00
