Name,City,State,OMS_Requests,Booked,Declined,Expired,Book_Rate,Last_Booked_Date
Aerial Plus - Burlington ON,Burlington,Ontario,110,39,20,51,35.5%,2026-02-16
Stoney Creek Equipment Rentals - Hamilton ON,Hamilton,ON,90,12,20,58,13.3%,2026-02-13
Stanmore Equipment - Uxbridge ON,Uxbridge,Ontario,65,0,0,65,0.0%,
NAM Rentals - Toronto ON,Toronto,Ontario,59,5,5,49,8.5%,2026-01-28
Best Rental Services Inc - Vaughan ON,Vaughan,Ontario,57,2,3,52,3.5%,2026-02-12
Stephenson's Rental Services - Mississauga ON (HQ),Mississauga,Ontario,57,0,1,56,0.0%,
Atmosphere Rental Inc - Cambridge ON,Cambridge,Ontario,55,1,0,54,1.8%,2025-12-17
GTA Equipment Rentals - Oakville ON,Oakville,Ontario,53,1,18,34,1.9%,2025-12-09
Dickie Moore Rentals - Toronto ON,Toronto,Ontario,36,0,1,35,0.0%,
True Canada Equipment - Vaughan ON,Vaughan,Ontario,35,0,1,34,0.0%,
CONEQ Rentals - Woodbridge ON,Vaughan,Ontario,35,10,2,23,28.6%,2026-02-14
Continental Lift Truck - New York NY,,New York,35,22,4,9,62.9%,2026-02-12
Barrie Rent-All Inc - Barrie ON,Barrie,Ontario,32,0,0,32,0.0%,
Powertrip Rentals - Signal Hill CA,Signal Hill,California,31,15,3,13,48.4%,2026-02-13
Torcan Lift Equipment - North York ON,North York,Ontario,30,0,1,29,0.0%,
RI-GO Lift Truck Ltd - Concord ON,CONCORD,Ontario,30,0,1,29,0.0%,
Equipment Share,,,28,25,1,2,89.3%,2026-02-10
Lift X Rentals - Palmetto FL,Palmetto,FL,27,11,5,11,40.7%,2026-02-17
Palmerston Rent-All Ltd - Listowel ON,Listowel,Ontario,25,0,2,23,0.0%,
McGill Equipment - Scarborough ON,Toronto,Ontario,25,0,0,25,0.0%,
EZ Equipment Rental - Dallas TX,Irving,TX,25,0,1,24,0.0%,
NLC Equipment - Stoney Creek ON,Hamilton,Ontario,24,0,0,24,0.0%,
Skyblack Rentals - Houston TX,Houston,Texas,24,8,5,11,33.3%,2026-02-11
Sunstate Equipment - Balch Springs TX,Balch Springs,Texas,23,5,9,9,21.7%,2026-01-20
All Pro Lift and Equipment LLC - Phoenix AZ,Phoenix,Arizona,23,7,6,10,30.4%,2026-02-06
Illinois Lift Equipment - Cary IL,Cary,Illinois,22,11,1,10,50.0%,2026-01-27
Arrow Lift Rentals - Dallas TX,Dallas,Texas,22,0,9,13,0.0%,
Northside Tool Rental - Buckhead (Atlanta) GA,Atlanta,Georgia,22,9,2,11,40.9%,2026-01-30
Liftow - Scarborough ON,Toronto,Ontario,21,0,0,21,0.0%,
Sunstate Equipment - Burbank CA,Burbank,California,20,2,9,9,10.0%,2026-02-06
LAX Equipment Inc - Inglewood CA,Inglewood,California,20,1,1,18,5.0%,2026-02-04
Border Equipment - Atlanta GA,Conley,Georgia,19,1,3,15,5.3%,2025-12-09
Artim - London ON,London,Ontario,19,0,3,16,0.0%,
Sunstate Equipment - Atlanta GA,Conley,GA,18,4,6,8,22.2%,2026-02-11
Total Warehouse - Anaheim CA,Anaheim,California,18,0,0,18,0.0%,
Industry Lift Inc - Industry CA,City of Industry,California,17,5,0,12,29.4%,2025-12-11
Sunstate Equipment - Las Vegas (Henderson) NV,Henderson,Nevada,17,5,9,3,29.4%,2026-01-07
U-Rent It Sales & Service - Rockwall TX,Rockwall,Texas,17,4,2,11,23.5%,2026-01-23
Sunstate Equipment - Oakland CA,Oakland,California,17,4,8,5,23.5%,2026-01-27
Rent-A-Tool LLC - Brooklyn NY,,New York,17,0,0,17,0.0%,
Area Rentals Inc - Hillside NJ,Hillside,New Jersey,16,4,0,12,25.0%,2026-01-02
Blakley Equipment Inc - Mount Vernon NY,Mount Vernon,New York,16,1,0,15,6.2%,2025-12-15
G&W Equipment - Atlanta GA,Atlanta,Georgia,16,0,5,11,0.0%,
Sunstate Equipment - Phoenix AZ,Phoenix,Arizona,16,2,6,8,12.5%,2026-01-19
Rental Stop - Grande Prairie TX,Grand Prairie,Texas,14,0,2,12,0.0%,
Sunstate Equipment - Denver CO,Commerce City,Colorado,14,10,3,1,71.4%,2026-02-16
Eldorado Forklift Co - Redwood City CA,Redwood City,California,14,0,2,12,0.0%,
Pape Material Handling - Fremont CA,Fremont,California,14,0,10,4,0.0%,
Starlift Equipment (Maintainco) - Hackensack NJ,South Hackensack,New Jersey,14,0,0,14,0.0%,
Nice Guy Heavy Equipment Rentals - New Tecumseth ON,New Tecumseth,Ontario,14,1,8,5,7.1%,2025-11-21
