Rank,Company Name,Total Company Branches,Active DOZR Branches,Orders Booked,GMV ($),Coverage (States),Equipment Rented
1,Sunstate Equipment,103,18,22,62353.33,"AZ, CA, CO, GA, NC, OR, SC, TN, TX, WA","14-Foot Straight Mast Forklift - 5,000 Pounds; QBX: Electric Articulating Boom Lift; Electric Articulating Boom Lift; Tracked Skid Steer; 14-Foot Straight Mast Electric Forklift - 5,000 Pounds; Cushion Tire Forklift; Backhoe; SCISSOR LIFT-26' 2WD NARROW ELECTRIC; Electric Scissor Lift; Towable Boom Lift"
2,Herc Rentals,612,2,3,52515.16,"MS, TX","Telehandler Reach Forklift; Wheel Loader, 3 yds+"
3,Equipment Share,350,6,7,35947.4,"CT, FL, TX",Excavator; Telehandler Reach Forklift; Case 650; Electric Scissor Lift; Dozer
4,Priestly Demolition Inc.,N/A,1,1,32801.72,ON,Long Reach Excavator
5,Sunbelt Rentals 249,1250,1,1,24183.57,FL,Electric Scissor Lift
6,Herc Rentals (9127),612,1,1,21358.24,OH,Telehandler Reach Forklift
7,Tejas Equipment Rental,7,2,3,18482.3,TX,QBX: Telehandler Reach Forklift; Electric Scissor Lift; Telehandler Reach Forklift
8,Central Power Systems & Services,20,1,1,17712.75,TX,Dozer
9,Toyota Lift of South Texas (Doggett Machinery),30,1,2,16890.61,TX,Cushion Tire Forklift; Pneumatic Tire Forklift
10,Equipment Depot,50,1,1,16390.67,KY,Cushion Tire Forklift
11,Mark Bauman (Powerstar),N/A,1,1,14034.6,ON,Excavator
12,Summit Toyotalift,5,1,1,13003.18,MA,"Cushion Tire Forklift, 40,000 -"
13,The Rental Place,N/A,1,1,11397.46,CA,Straight Boom Lift
14,Lift X Rentals,N/A,1,3,11164.59,FL,Electric Articulating Boom Lift; Telehandler Reach Forklift; Pneumatic Tire Forklift
15,Eaheart Industrial Service Inc,N/A,1,1,10727.83,VA,Cushion Tire Forklift
16,Beck Equipment Inc,N/A,1,1,9352.67,NY,Telehandler Reach Forklift
17,GTA Equipment Rentals,N/A,1,2,8904.79,ON,Electric Scissor Lift
18,Herc Rentals (9120),612,1,1,8458.65,VA,Straight Boom Lift
19,Viper Equipment,N/A,1,2,8268.92,CA,Mini Excavator; Electric Scissor Lift
20,Aerial Plus,N/A,1,1,8149.02,ON,Electric Articulating Boom Lift; Articulating Boom Lift
21,CONEQ Rentals,N/A,1,2,7544.83,ON,Electric Articulating Boom Lift; Articulating Boom Lift
22,TL Gold Rents,N/A,1,1,7456.98,GA,Cushion Tire Forklift
23,Bobcat of Space Coast,N/A,1,1,7250.27,FL,Mini Excavator
24,The Home Depot Rental 6979,2497,1,1,7121.32,GA,Articulating Boom Lift
25,Sunbelt Rentals 226,1250,1,1,7041.85,FL,Electric Scissor Lift
26,Wilson Equipment,N/A,1,1,6886.05,OR,Cat TL943
27,Puckett Machinery CAT (Corp),6,1,1,6528.72,MS,Telehandler Reach Forklift
28,The Home Depot Rental 2709,2497,1,1,6451.08,MI,Electric Articulating Boom Lift; Articulating Boom Lift
29,Carter Cat,7,1,1,6309.52,VA,Telehandler Reach Forklift
30,LSR Equipment,N/A,1,1,5534.19,TX,Dozer
